AgeCourseStart,Quiz1Norm,Quiz2Norm,HW1Norm,MTNorm,TGNorm,AGE_ADMITTED,Reg_Hrs,HS_GPA,MATH,PHYS,Repeated_Grade_ITBP119_CSBP119,ITBP119_CSBP119_max,Repeated_Grade_ITBP219_CSBP219,ESPN,CSBP121,MATH105,CENG205,PHYS105,CENG202,CIT,AcademicStanding,Citizenship,Gender,Sponsor,Resident_in_city
19.02,0.72,0.94,0.9,0.95,0.92,18,16,1,1,1,0,0.9,0,0.9,0.9,0.9,0.9,0.9,0.9,1,1,0,1,1,0
20.78,0.61,1,0.9,0.83,0.87,19,13,0.978,1,1,0,0.84,0,0.9,0.9,0.9,0.9,0.84,0.9,1,1,0,1,1,0
24.65,0.9,0.18,1,0.9,0.8,22,12,0.956,1,1,0,0.9,0,0.9,0.92,0.9,0.98,0.9,0.92,0,1,0,0,1,0
20.61,0.64,0.75,0.8,0.98,0.9,19,13,1,1,1,0,0.9,0,0.9,0.9,0.9,0.9,0.87,0.87,1,1,0,1,1,0
17.72,0,0.6,0.97,1,1,16,16,0.9557,1,1,0,0.87,0,0.9,0.9,0.9,0.9,0.9,0.84,1,1,1,1,0,1
18.76,0.94,1,1,1,1,17,13,0.983,1,1,0,0.9,0,0.84,0.9,0.9,0.9,0.9,0.9,1,1,1,1,0,1
22.04,0.73,1,0.95,0.85,0.79,19,17,1,1,1,0,0.9,0,0.9,0.86,0.9,0.9,0.9,0.7,0,1,0,0,1,1
18,0.8,0.77,1,0.85,0.87,17,13,0.989,0.99,1,0,0.84,0,0.9,0.87,0.9,0.8675,0.8,0.8675,1,1,1,1,1,1
18.67,0.53,0.4,0,0.5,0.6,17,13,0.948,0.948,0.994,0,0.74,0,0.7,0.6,0.6,0.6,0.67,0.77,1,1,1,1,0,0
19.22,0,0,0.95,0.83,0.93,18,13,0.99,0.99,0.99,0,0.9,0,0.9,0.9,0.87,0.87,0.8,0.9,1,1,1,0,1,1
18.72,0.63,0.33,1,0.6,0.8,17,16,0.975,0.988,0.983,0,0.84,0,0.77,0.8,0.8,0.9,0.87,0.84,1,1,1,1,0,1
19.79,1,0.87,1,1,0.91,18,13,0.978,1,0.98,0,0.87,0,0.9,0.9,0.9,0.9,0.84,0.888,1,1,1,1,1,1
19.55,0.67,0.93,1,0.95,1,17,18,0.951,0.99,0.98,0,0.9,0,0.9,0.9,0.9,0.9,0.9,0.9,0,1,1,1,0,0
18.71,0.53,0.4,0.55,0.45,0.59,17,11,0.921,0.98,0.98,0,0.67,0,0.84,0.7,0.64,0.7,0.6,0.6,1,1,1,1,1,0
19.17,0.7,0.73,0.835,0.75,0.84,18,13,0.97,0.96,0.98,0,0.84,0,0.8,0.9,0.7,0.8,0.7,0.74,1,1,1,0,1,1
20.36,0.6,0.12,0.75,0.33,0.55,18,13,0.979,0.973,0.973,0,0.74,0,0.67,0.7,0.7,0.9,0.64,0.77,1,1,1,0,0,0
19.78,0.5,0.2,1,0.5,0.73,18,16,0.991,0.99,0.97,0,0.7,0,0.9,0.6,0.6,0.77,0.7,0.67,1,1,1,1,0,0
19,1,0.6,0.95,1,1,18,13,0.945,0.95,0.97,0,0.9,0,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,0,1
21.24,0.4,0.75,0.9,0.95,0.77,17,10,0.94,0.88,0.97,0,0.77,0,0.8,0.9,0.87,0.9,0.74,0.67,1,1,1,0,1,1
20.4,1,1,1,1,1,17,12,0.989,1,0.962,0,0.9,0,0.9,0.9,0.9,0.9,0.9,0.9,0,1,0,0,0,0
19.99,0.53,0.2,0.2,0.6,0.64,18,13,0.954,0.876,0.961,0,0.67,0,0.8,0.6,0.6,0.6,0.7,0.7,1,1,1,1,0,0
18.16,0.87,0.8,0.75,0.9,0.85,17,13,0.949,0.97,0.96,0,0.9,0,0.84,0.9,0.87,0.74,0.9,0.7,1,1,1,0,0,1
20.48,0.67,0.88,1,0.88,0.77,18,10,0.94,0.93,0.96,0,0.84,0,0.8,0.77,0.67,0.9,0.8,0.9,1,1,1,0,1,1
19.11,1,0.4,1,0.65,0.8,17,13,0.961,0.957,0.957,0,0.87,0,0.8,0.9,0.8,0.74,0.7,0.84,1,1,1,1,0,1
18.5,0.9,0.6,1,0.85,0.89,17,13,0.976,0.989,0.956,0,0.8,0,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,0,1,1
18.81,0.5,0.5,0.85,0.5,0.59,17,13,0.943,0.938,0.954,0,0.8,0,0.64,0.67,0.6,0.8,0.6,0.6,1,1,1,1,0,0
18.39,0.8,0.83,1,0.98,0.94,18,14,0.9478,0.997,0.9539,0,0.9,0,0.84,0.9,0.84,0.845,0.8,0.845,1,1,1,1,0,0
21.54,0.6,0.38,0,0.75,0.4,19,13,0.955,1,0.95,0,0.84,2,0.9,0.74,0.6,0.67,0.77,0.736,1,1,1,0,0,1
17.7,1,0.9,1,0.98,0.87,17,16,0.96,0.97,0.95,0,0.8,0,0.8,0.9,0.9,0.84,0.7,0.828,1,1,1,1,0,1
17.92,0.9,0.8,1,0.7,0.86,16,13,0.959,0.95,0.95,0,0.9,0,0.8,0.87,0.77,0.9,0.67,0.84,1,1,1,0,0,1
21.89,0,0.19,0.7,0.68,0.71,18,15,0.953,0.93,0.95,0,0.64,2,0.77,0.7,0.9,0.6,0.6,0.6,1,1,1,0,1,1
19.64,0.83,0.87,0.85,1,0.95,17,15,0.915,0.92,0.95,0,0.9,0,0.9,0.894,0.9,0.9,0.87,0.9,0,1,1,1,0,0
19.12,0.86,1,0.98,1,1,18,19,0.972,0.951,0.949,0,0.9,0,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,0,0
19.11,0.9,0.4,1,0.58,0.72,18,16,0.963,0.946,0.946,0,0.7,0,0.7,0.67,0.6,0.74,0.7,0.8,1,1,1,1,0,0
18.77,0.53,0.95,1,1,1,17,18,0.957,1,0.945,0,0.9,0,0.84,0.92,1,0.9,0.96,0.9,0,1,1,0,0,0
20.94,0.9,0.6,1,0.73,0.9,17,21,0.957,0.991,0.944,0,0.9,0,0.87,0.89,0.9,0.89,0.9,0.89,0,1,0,1,0,1
18.22,0.8,1,1,1,0.84,17,16,0.941,0.93,0.94,0,0.84,0,0.9,0.9,0.9,0.8,0.9,0.88,1,1,1,1,0,0
20.32,0.67,0.8,1,0.75,0.75,19,13,0.973,1,0.93,0,0.84,0,0.84,0.87,0.8,0.84,0.7,0.67,1,1,1,1,0,1
18.31,0.93,0.8,1,1,1,17,16,0.971,0.99,0.93,0,0.9,0,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,0
23.91,0,0.6,0,0.48,0.14,18,9,0.9169,0.977,0.93,0,0.8,0,0.74,0.796666667,0.9,0.796666667,0.75,0.796666667,0,1,1,1,0,0
18.36,0.53,0.63,0.75,0.58,0.64,17,13,0.933,0.93,0.93,0,0.84,0,0.87,0.84,0.67,0.87,0.64,0.6,1,1,1,1,0,1
18.19,0.53,0.73,0.85,0.83,0.7,17,13,0.918,0.92,0.93,0,0.8,0,0.8,0.77,0.62,0.84,0.67,0.8,1,1,1,1,0,1
